Title	Register type	Register	Division factor	Unit	Size of variable	Min value	Max value	Default value	
Pump speed (S135)	MODBUS_HOLDING_REGISTER	1036	1	%	u8	1	100	70
Bypass temp. (ERS 1)	MODBUS_HOLDING_REGISTER	1044	1	°C	u8	2	10	4
External cooling accessory pump type	MODBUS_HOLDING_REGISTER	1046	1		u8	0	1	1
Flow sensor activated X22	MODBUS_HOLDING_REGISTER	1049	1		u8	0	1	0
Flow sensor activated X21	MODBUS_HOLDING_REGISTER	1050	1		u8	0	1	0
Max. internal additional heat SG Ready	MODBUS_HOLDING_REGISTER	1052	100	kW	s16	0	900	700
PV panel affects heating (EME)	MODBUS_HOLDING_REGISTER	1069	1		u8	0	1	0
PV panel affects hot water (EME)	MODBUS_HOLDING_REGISTER	1070	1		u8	0	1	0
Delay timer EME	MODBUS_HOLDING_REGISTER	1071	1		u16	0	0	0
Pump 4 (FLM)	MODBUS_HOLDING_REGISTER	1074	1		u8	0	1	0
Pump 3 (FLM)	MODBUS_HOLDING_REGISTER	1075	1		u8	0	1	0
Pump 2 (FLM)	MODBUS_HOLDING_REGISTER	1076	1		u8	0	1	0
Defrosting time (FLM 4)	MODBUS_HOLDING_REGISTER	1077	1	h	u8	1	30	10
Defrosting time (FLM 3)	MODBUS_HOLDING_REGISTER	1078	1	h	u8	1	30	10
Defrosting time (FLM 2)	MODBUS_HOLDING_REGISTER	1079	1	h	u8	1	30	10
Cooling (FLM 4)	MODBUS_HOLDING_REGISTER	1080	1		u8	0	1	0
Cooling (FLM 3)	MODBUS_HOLDING_REGISTER	1081	1		u8	0	1	0
Cooling (FLM 2)	MODBUS_HOLDING_REGISTER	1082	1		u8	0	1	0
Pump speed (FLM 4)	MODBUS_HOLDING_REGISTER	1083	1	%	u8	1	100	100
Pump speed (FLM 3)	MODBUS_HOLDING_REGISTER	1084	1	%	u8	1	100	100
Pump speed (FLM 2)	MODBUS_HOLDING_REGISTER	1085	1	%	u8	1	100	100
Pump speed (FLM 1)	MODBUS_HOLDING_REGISTER	1086	1	%	u8	1	100	100
Outdoor air mixing	MODBUS_HOLDING_REGISTER	1096	1		u8	0	1	0
Smart Energy Source	MODBUS_HOLDING_REGISTER	1105	1		u8	0	1	0
Control method, smart energy source	MODBUS_HOLDING_REGISTER	1106	1		u8	0	1	0
El. price, special, smart energy source	MODBUS_HOLDING_REGISTER	1107	1		u8	0	2	0
El. price, fixed, smart energy source	MODBUS_HOLDING_REGISTER	1108	1		u16	0	60000	100
El. price, smart energy source	MODBUS_HOLDING_REGISTER	1109	1		u8	0	1	0
El. price, fixed, smart energy source	MODBUS_HOLDING_REGISTER	1110	1		u16	0	60000	100
El. price, smart energy source	MODBUS_HOLDING_REGISTER	1111	1		u8	0	3	0
El. price, fixed, smart energy source	MODBUS_HOLDING_REGISTER	1112	1		u16	0	60000	100
El. price, smart energy source	MODBUS_HOLDING_REGISTER	1113	1		u8	0	1	0
El. price, fixed, smart energy source	MODBUS_HOLDING_REGISTER	1114	1		u16	0	60000	100
Prim. factor, smart energy source	MODBUS_HOLDING_REGISTER	1117	10		u8	0	50	25
Prim. factor, shunt add. heat smart energy source	MODBUS_HOLDING_REGISTER	1118	10		u8	0	50	10
Prim. factor, ext. step add. heat smart energy source	MODBUS_HOLDING_REGISTER	1119	10		u8	0	50	10
ext. step add. heat, high tariff price smart energy source	MODBUS_HOLDING_REGISTER	1123	1		u16	1	60000	100
ext. step add. heat, low tariff price smart energy source	MODBUS_HOLDING_REGISTER	1124	1		u16	1	60000	100
Shunt add. heat, high tariff price smart energy source	MODBUS_HOLDING_REGISTER	1125	1		u16	1	60000	100
Shunt add. heat, low tariff price smart energy source	MODBUS_HOLDING_REGISTER	1126	1		u16	1	60000	100
El. price, fixed, high tariff smart energy source	MODBUS_HOLDING_REGISTER	1127	1		u16	1	60000	100
El. price, fixed, low tariff smart energy source	MODBUS_HOLDING_REGISTER	1128	1		u16	1	60000	100
El. price, variable, high tariff smart energy source	MODBUS_HOLDING_REGISTER	1129	1		u16	1	60000	100
El. price, variable, low tariff smart energy source	MODBUS_HOLDING_REGISTER	1130	1		u16	1	60000	100
DM start source, priority 5 smart energy source	MODBUS_HOLDING_REGISTER	1131	1		s16	100	2000	400
DM start source, priority 4 smart energy source	MODBUS_HOLDING_REGISTER	1132	1		s16	100	2000	400
DM start source, priority 3 smart energy source	MODBUS_HOLDING_REGISTER	1133	1		s16	100	2000	400
DM start source, priority 2 smart energy source	MODBUS_HOLDING_REGISTER	1134	1		s16	100	2000	400
DM start source, priority 1 smart energy source	MODBUS_HOLDING_REGISTER	1135	1		s16	-2000	-10	-60
Start day, tariff smart energy source	MODBUS_HOLDING_REGISTER	1136	1		u8	1	31	1
End day, tariff smart energy source	MODBUS_HOLDING_REGISTER	1137	1		u8	1	31	31
Start month, tariff smart energy source	MODBUS_HOLDING_REGISTER	1138	1		u8	1	12	1
End month, tariff smart energy source	MODBUS_HOLDING_REGISTER	1139	1		u8	1	12	12
Start day, fixed tariff smart energy source	MODBUS_HOLDING_REGISTER	1172	1		u8	1	31	1
End day, fixed tariff smart energy source	MODBUS_HOLDING_REGISTER	1173	1		u8	1	31	31
Start month, fixed tariff smart energy source	MODBUS_HOLDING_REGISTER	1174	1		u8	1	12	1
End month, fixed tariff smart energy source	MODBUS_HOLDING_REGISTER	1175	1		u8	1	12	12
Start day tariff, shunt additional heat smart energy source	MODBUS_HOLDING_REGISTER	1244	1		u8	1	31	1
End day tariff, shunt additional heat  smart energy source	MODBUS_HOLDING_REGISTER	1245	1		u8	1	31	31
Start month tariff, shunt additional heat smart energy source	MODBUS_HOLDING_REGISTER	1246	1		u8	1	12	1
End month tariff, shunt additional heat smart energy source	MODBUS_HOLDING_REGISTER	1247	1		u8	1	12	12
Start day tariff, ext. step add. heat smart energy source	MODBUS_HOLDING_REGISTER	1280	1		u8	1	31	1
End day tariff, ext. step add. heat  smart energy source	MODBUS_HOLDING_REGISTER	1281	1		u8	1	31	31
Start month tariff, ext. step add. heat smart energy source	MODBUS_HOLDING_REGISTER	1282	1		u8	1	12	1
End month tariff, ext. step add. heat smart energy source	MODBUS_HOLDING_REGISTER	1283	1		u8	1	12	12
Ground water pump temperature alarm	MODBUS_HOLDING_REGISTER	1316	1		u8	0	1	0
Ground water pump temperature alarm level	MODBUS_HOLDING_REGISTER	1317	1	°C	s8	-15	20	3
Brine pump auto mode	MODBUS_HOLDING_REGISTER	1319	1		s8	0	2	1
Max difference, SES priority 1 energy source	MODBUS_HOLDING_REGISTER	1326	10	°C	s16	10	250	100
Max difference, SES lower priority energy source	MODBUS_HOLDING_REGISTER	1327	10	°C	s16	10	250	70
Installed (EB101)	MODBUS_HOLDING_REGISTER	1550	1		u8	0	1	1
EME20	MODBUS_HOLDING_REGISTER	4000	1		u8	0	1	0
Current power	MODBUS_INPUT_REGISTER	2176	1	W	u32	0	0	0
Ground water pump's control signal	MODBUS_HOLDING_REGISTER	4012	1		s8	0	0	0
Total average power (Solar PV)	MODBUS_INPUT_REGISTER	2178	100	kW	u32	0	0	0
Total energy	MODBUS_INPUT_REGISTER	2180	10	kWh	s32	0	0	0
Mode, energy meter (BE6)	MODBUS_HOLDING_REGISTER	4015	1		u8	0	255	255
Mode, energy meter (BE7)	MODBUS_HOLDING_REGISTER	4016	1		u8	0	255	255
ERS 2	MODBUS_HOLDING_REGISTER	4076	1		u8	0	1	0
ERS 3	MODBUS_HOLDING_REGISTER	4077	1		u8	0	1	0
ERS 4	MODBUS_HOLDING_REGISTER	4078	1		u8	0	1	0
Mode, energy meter (BE11)	MODBUS_HOLDING_REGISTER	4127	1		u8	0	255	255
External addition steps active	MODBUS_INPUT_REGISTER	2454	1		u8	0	0	0
HTS 2	MODBUS_HOLDING_REGISTER	1981	1		u8	0	1	0
HTS 3	MODBUS_HOLDING_REGISTER	1982	1		u8	0	1	0
HTS 4	MODBUS_HOLDING_REGISTER	1983	1		u8	0	1	0
External adjustment, cooling climate system 8	MODBUS_HOLDING_REGISTER	4138	1		s8	-10	10	0
External adjustment, cooling climate system 7	MODBUS_HOLDING_REGISTER	4139	1		s8	-10	10	0
External adjustment, cooling climate system 6	MODBUS_HOLDING_REGISTER	4140	1		s8	-10	10	0
External adjustment, cooling climate system 5	MODBUS_HOLDING_REGISTER	4141	1		s8	-10	10	0
External adjustment, cooling climate system 4	MODBUS_HOLDING_REGISTER	4142	1		s8	-10	10	0
External adjustment, cooling climate system 3	MODBUS_HOLDING_REGISTER	4143	1		s8	-10	10	0
External adjustment, cooling climate system 2	MODBUS_HOLDING_REGISTER	4144	1		s8	-10	10	0
External adjustment, cooling climate system 1	MODBUS_HOLDING_REGISTER	4145	1		s8	-10	10	0
External adjustment with room sensor, cooling climate system 8	MODBUS_HOLDING_REGISTER	4146	10	°C	s16	50	300	200
External adjustment with room sensor, cooling climate system 7	MODBUS_HOLDING_REGISTER	4147	10	°C	s16	50	300	200
External adjustment with room sensor, cooling climate system 6	MODBUS_HOLDING_REGISTER	4148	10	°C	s16	50	300	200
External adjustment with room sensor, cooling climate system 5	MODBUS_HOLDING_REGISTER	4149	10	°C	s16	50	300	200
External adjustment with room sensor, cooling climate system 4	MODBUS_HOLDING_REGISTER	4150	10	°C	s16	50	300	200
External adjustment with room sensor, cooling climate system 3	MODBUS_HOLDING_REGISTER	4151	10	°C	s16	50	300	200
External adjustment with room sensor, cooling climate system 2	MODBUS_HOLDING_REGISTER	4152	10	°C	s16	50	300	200
External adjustment with room sensor, cooling climate system 1	MODBUS_HOLDING_REGISTER	4153	10	°C	s16	50	300	200
blockFreq 1 (EB102)	MODBUS_HOLDING_REGISTER	4164	1		u8	0	1	0
blockFreq 1 (EB103)	MODBUS_HOLDING_REGISTER	4165	1		u8	0	1	0
blockFreq 1 (EB104)	MODBUS_HOLDING_REGISTER	4166	1		u8	0	1	0
blockFreq 1 (EB105)	MODBUS_HOLDING_REGISTER	4167	1		u8	0	1	0
blockFreq 1 (EB106)	MODBUS_HOLDING_REGISTER	4168	1		u8	0	1	0
blockFreq 1 (EB107)	MODBUS_HOLDING_REGISTER	4169	1		u8	0	1	0
blockFreq 1 (EB108)	MODBUS_HOLDING_REGISTER	4170	1		u8	0	1	0
Power at DOT, manual value	MODBUS_HOLDING_REGISTER	4200	1		u8	0	1	0
Blocking actions (ERS 3)	MODBUS_HOLDING_REGISTER	4100	1		u8	0	2	2
Blocking actions (ERS 4)	MODBUS_HOLDING_REGISTER	4101	1		u8	0	2	2
Night cooling diff	MODBUS_HOLDING_REGISTER	2943	1	°C	u8	3	10	6
Minimum permitted speed (EB101 GP12)	MODBUS_HOLDING_REGISTER	5352	1	%	u8	1	50	0
Defrost Requested EB101	MODBUS_HOLDING_REGISTER	5368	1		s8	0	1	0
System 1 (RMU)	MODBUS_HOLDING_REGISTER	176	1		u8	0	1	0
System 2 (RMU)	MODBUS_HOLDING_REGISTER	177	1		u8	0	1	0
System 3 (RMU)	MODBUS_HOLDING_REGISTER	178	1		u8	0	1	0
System 4 (RMU)	MODBUS_HOLDING_REGISTER	179	1		u8	0	1	0
System 5 (RMU)	MODBUS_HOLDING_REGISTER	1998	1		u8	0	1	0
System 6 (RMU)	MODBUS_HOLDING_REGISTER	1999	1		u8	0	1	0
System 7 (RMU)	MODBUS_HOLDING_REGISTER	2000	1		u8	0	1	0
System 8 (RMU)	MODBUS_HOLDING_REGISTER	2001	1		u8	0	1	0
Away mode status	MODBUS_HOLDING_REGISTER	5390	1		u8	0	0	0
The start guide has been run	MODBUS_HOLDING_REGISTER	2742	1		u8	0	1	1
Audio signal on alarm	MODBUS_HOLDING_REGISTER	5326	1		u8	0	1	1
Sound when pressing button	MODBUS_HOLDING_REGISTER	5327	1		u8	0	1	1
BT12 offset, heat pump 1	MODBUS_HOLDING_REGISTER	5328	10	°C	s8	-50	50	0
Additional heat step, emergency mode	MODBUS_HOLDING_REGISTER	3058	1		u8	0	7	0
Heating, auto	MODBUS_HOLDING_REGISTER	3059	1		u8	0	1	1
Cooling, auto	MODBUS_HOLDING_REGISTER	3060	1		u8	0	1	1
Activate SG Ready via API	MODBUS_HOLDING_REGISTER	3032	1		u8	0	1	0
Requested operating mode (SG Ready)	MODBUS_HOLDING_REGISTER	6008	1		u8	0	3	1
Factor	MODBUS_HOLDING_REGISTER	3033	1		u8	1	10	5
Period	MODBUS_HOLDING_REGISTER	3088	1		u8	0	1	0
Number of years	MODBUS_HOLDING_REGISTER	3089	1		u8	1	10	1
Months	MODBUS_HOLDING_REGISTER	3090	1		u32	0	4095	4095
Show outdoor temperature	MODBUS_HOLDING_REGISTER	3096	1		u8	0	0	0
Show indoor temperature	MODBUS_HOLDING_REGISTER	3097	1		u8	0	0	0
Active days	MODBUS_HOLDING_REGISTER	3066	1		u8	0	127	0
Active days	MODBUS_HOLDING_REGISTER	3067	1		u8	0	127	0
Active days	MODBUS_HOLDING_REGISTER	3068	1		u8	0	127	0
Active days	MODBUS_HOLDING_REGISTER	3069	1		u8	0	127	0
Active days	MODBUS_HOLDING_REGISTER	3070	1		u8	0	127	0
Start time	MODBUS_HOLDING_REGISTER	5393	1		-	-	-	-
Start time	MODBUS_HOLDING_REGISTER	5397	1		-	-	-	-
Stop time	MODBUS_HOLDING_REGISTER	5401	1		-	-	-	-
AUX relay (AUX11)	MODBUS_HOLDING_REGISTER	224	1		u8	0	32	5
Offset cooling (Solar PV)	MODBUS_HOLDING_REGISTER	2667	1		s8	-10	0	-1
Offset heating (Solar PV)	MODBUS_HOLDING_REGISTER	2668	1		u8	0	10	1
Offset pool (Solar PV)	MODBUS_HOLDING_REGISTER	2669	1	°C	u8	0	10	10
Cooling (Solar PV)	MODBUS_HOLDING_REGISTER	2666	1		u8	0	1	0
AUX (Solar PV)	MODBUS_HOLDING_REGISTER	2675	1		u8	0	1	0
Temperature overcharging pool	MODBUS_HOLDING_REGISTER	0	1	°C	u8	1	50	1
Modbus TCP/IP Ext. (Solar PV)	MODBUS_HOLDING_REGISTER	2107	1		u8	0	1	0
Modbus TCP/IP Ext.Include own consumption (Solar PV)	MODBUS_HOLDING_REGISTER	2108	1		u8	0	1	0
Modbus TCP/IP Ext. Available power (Solar PV)	MODBUS_HOLDING_REGISTER	2109	1		u16	0	65535	0
External adjustment input, main unit (ECS1)	MODBUS_HOLDING_REGISTER	2111	1		u8	0	1	0
External adjustment input (ECS2)	MODBUS_HOLDING_REGISTER	2112	1		u8	0	1	0
External adjustment input (ECS3)	MODBUS_HOLDING_REGISTER	2113	1		u8	0	1	0
External adjustment input (ECS4)	MODBUS_HOLDING_REGISTER	2114	1		u8	0	1	0
External adjustment input (ECS5)	MODBUS_HOLDING_REGISTER	2115	1		u8	0	1	0
External adjustment input (ECS6)	MODBUS_HOLDING_REGISTER	2116	1		u8	0	1	0
External adjustment input (ECS7)	MODBUS_HOLDING_REGISTER	2117	1		u8	0	1	0
External adjustment input (ECS8)	MODBUS_HOLDING_REGISTER	2118	1		u8	0	1	0
Zone 1 affected by ECS1	MODBUS_HOLDING_REGISTER	2119	1		u8	0	1	0
Zone 2 affected by ECS1	MODBUS_HOLDING_REGISTER	2120	1		u8	0	1	0
Zone 3 affected by ECS1	MODBUS_HOLDING_REGISTER	2121	1		u8	0	1	0
Zone 4 affected by ECS1	MODBUS_HOLDING_REGISTER	2122	1		u8	0	1	0
Zone 5 affected by ECS1	MODBUS_HOLDING_REGISTER	2123	1		u8	0	1	0
Zone 6 affected by ECS1	MODBUS_HOLDING_REGISTER	2124	1		u8	0	1	0
Zone 7 affected by ECS1	MODBUS_HOLDING_REGISTER	2125	1		u8	0	1	0
Zone 8 affected by ECS1	MODBUS_HOLDING_REGISTER	2126	1		u8	0	1	0
Zone 9 affected by ECS1	MODBUS_HOLDING_REGISTER	2127	1		u8	0	1	0
Zone 10 affected by ECS1	MODBUS_HOLDING_REGISTER	2128	1		u8	0	1	0
Zone 11 affected by ECS1	MODBUS_HOLDING_REGISTER	2129	1		u8	0	1	0
Zone 12 affected by ECS1	MODBUS_HOLDING_REGISTER	2130	1		u8	0	1	0
Zone 13 affected by ECS1	MODBUS_HOLDING_REGISTER	2131	1		u8	0	1	0
Zone 14 affected by ECS1	MODBUS_HOLDING_REGISTER	2132	1		u8	0	1	0
Zone 15 affected by ECS1	MODBUS_HOLDING_REGISTER	2133	1		u8	0	1	0
Zone 16 affected by ECS1	MODBUS_HOLDING_REGISTER	2134	1		u8	0	1	0
Zone 17 affected by ECS1	MODBUS_HOLDING_REGISTER	2135	1		u8	0	1	0
Zone 18 affected by ECS1	MODBUS_HOLDING_REGISTER	2136	1		u8	0	1	0
Zone 19 affected by ECS1	MODBUS_HOLDING_REGISTER	2137	1		u8	0	1	0
Zone 20 affected by ECS1	MODBUS_HOLDING_REGISTER	2138	1		u8	0	1	0
Zone 21 affected by ECS1	MODBUS_HOLDING_REGISTER	2139	1		u8	0	1	0
Zone 22 affected by ECS1	MODBUS_HOLDING_REGISTER	2140	1		u8	0	1	0
Zone 23 affected by ECS1	MODBUS_HOLDING_REGISTER	2141	1		u8	0	1	0
Zone 24 affected by ECS1	MODBUS_HOLDING_REGISTER	2142	1		u8	0	1	0
Zone 25 affected by ECS1	MODBUS_HOLDING_REGISTER	2143	1		u8	0	1	0
Zone 26 affected by ECS1	MODBUS_HOLDING_REGISTER	2144	1		u8	0	1	0
Zone 27 affected by ECS1	MODBUS_HOLDING_REGISTER	2145	1		u8	0	1	0
Zone 28 affected by ECS1	MODBUS_HOLDING_REGISTER	2146	1		u8	0	1	0
Zone 29 affected by ECS1	MODBUS_HOLDING_REGISTER	2147	1		u8	0	1	0
Zone 30 affected by ECS1	MODBUS_HOLDING_REGISTER	2148	1		u8	0	1	0
Zone 31 affected by ECS1	MODBUS_HOLDING_REGISTER	2149	1		u8	0	1	0
Zone 32 affected by ECS1	MODBUS_HOLDING_REGISTER	2150	1		u8	0	1	0
Zone 33 affected by ECS1	MODBUS_HOLDING_REGISTER	2151	1		u8	0	1	0
Zone 34 affected by ECS1	MODBUS_HOLDING_REGISTER	2152	1		u8	0	1	0
Zone 35 affected by ECS1	MODBUS_HOLDING_REGISTER	2153	1		u8	0	1	0
Zone 36 affected by ECS1	MODBUS_HOLDING_REGISTER	2154	1		u8	0	1	0
Zone 37 affected by ECS1	MODBUS_HOLDING_REGISTER	2155	1		u8	0	1	0
Zone 38 affected by ECS1	MODBUS_HOLDING_REGISTER	2156	1		u8	0	1	0
Zone 39 affected by ECS1	MODBUS_HOLDING_REGISTER	2157	1		u8	0	1	0
Zone 40 affected by ECS1	MODBUS_HOLDING_REGISTER	2158	1		u8	0	1	0
Input on ECS1 affects ECS1	MODBUS_HOLDING_REGISTER	2439	1		u8	0	1	0
Input on ECS1 affects ECS2	MODBUS_HOLDING_REGISTER	2440	1		u8	0	1	0
Input on ECS1 affects ECS3	MODBUS_HOLDING_REGISTER	2441	1		u8	0	1	0
Input on ECS1 affects ECS4	MODBUS_HOLDING_REGISTER	2442	1		u8	0	1	0
Input on ECS1 affects ECS5	MODBUS_HOLDING_REGISTER	2443	1		u8	0	1	0
Input on ECS1 affects ECS6	MODBUS_HOLDING_REGISTER	2444	1		u8	0	1	0
Input on ECS1 affects ECS7	MODBUS_HOLDING_REGISTER	2445	1		u8	0	1	0
Input on ECS1 affects ECS8	MODBUS_HOLDING_REGISTER	2446	1		u8	0	1	0
External setting for adjustment migrated	MODBUS_HOLDING_REGISTER	2503	1		u8	0	1	0
Max. step internal additional heat	MODBUS_HOLDING_REGISTER	2504	1		u8	0	7	3
Time between filter replacement	MODBUS_HOLDING_REGISTER	2676	1		u8	1	24	3
Time between filter replacement	MODBUS_HOLDING_REGISTER	2677	1		u8	1	24	3
Time between filter replacement	MODBUS_HOLDING_REGISTER	2678	1		u8	1	24	3
Time between filter replacement	MODBUS_HOLDING_REGISTER	2679	1		u8	1	24	3
Op.time electrical heater for heating	MODBUS_INPUT_REGISTER	2182	10	h	s32	0	9999999	0
Op.time electrical heater for hot water	MODBUS_INPUT_REGISTER	2184	10	h	s32	0	9999999	0
Return time fan 4	MODBUS_HOLDING_REGISTER	2700	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2701	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2702	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2703	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2704	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2705	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2706	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2707	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2708	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2709	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2710	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2711	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2712	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2713	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2714	1	h	u8	1	24	4
Return time fan 4	MODBUS_HOLDING_REGISTER	2715	1	h	u8	1	24	4
Time between filter replacement	MODBUS_HOLDING_REGISTER	2728	1		u8	1	24	3
Time between filter replacement	MODBUS_HOLDING_REGISTER	2729	1		u8	1	24	3
Time between filter replacement	MODBUS_HOLDING_REGISTER	2730	1		u8	1	24	3
Time between filter replacement	MODBUS_HOLDING_REGISTER	2731	1		u8	1	24	3
AUX from Modbus	MODBUS_HOLDING_REGISTER	2740	1		u8	0	69	0
AUX from Modbus	MODBUS_HOLDING_REGISTER	2741	1		s16	0	0	0
Heat pump test - Silent mode (EB101/EB102)	MODBUS_HOLDING_REGISTER	5101	1		u8	0	1	0
ERS 5	MODBUS_HOLDING_REGISTER	2820	1		u8	0	1	0
ERS 6	MODBUS_HOLDING_REGISTER	2821	1		u8	0	1	0
ERS 7	MODBUS_HOLDING_REGISTER	2822	1		u8	0	1	0
ERS 8	MODBUS_HOLDING_REGISTER	2823	1		u8	0	1	0
ERS 5	MODBUS_HOLDING_REGISTER	2824	1		u8	0	1	1
ERS 6	MODBUS_HOLDING_REGISTER	2825	1		u8	0	1	1
ERS 7	MODBUS_HOLDING_REGISTER	2826	1		u8	0	1	1
ERS 8	MODBUS_HOLDING_REGISTER	2827	1		u8	0	1	1
Min. vent temp. (ERS 5)	MODBUS_HOLDING_REGISTER	2857	1	°C	u8	0	10	3
Min. vent temp. (ERS 6)	MODBUS_HOLDING_REGISTER	2858	1	°C	u8	0	10	3
Min. vent temp. (ERS 7)	MODBUS_HOLDING_REGISTER	2859	1	°C	u8	0	10	3
Min. vent temp. (ERS 8)	MODBUS_HOLDING_REGISTER	2860	1	°C	u8	0	10	3
Blocking actions (ERS 5)	MODBUS_HOLDING_REGISTER	2828	1		u8	0	2	2
Blocking actions (ERS 6)	MODBUS_HOLDING_REGISTER	2829	1		u8	0	2	2
Blocking actions (ERS 7)	MODBUS_HOLDING_REGISTER	2830	1		u8	0	2	2
Blocking actions (ERS 8)	MODBUS_HOLDING_REGISTER	2831	1		u8	0	2	2
Fan mode 5	MODBUS_INPUT_REGISTER	2168	1	%	u8	0	0	0
Fan mode 6	MODBUS_INPUT_REGISTER	2169	1	%	u8	0	0	0
Fan mode 7	MODBUS_INPUT_REGISTER	2170	1	%	u8	0	0	0
Fan mode 8	MODBUS_INPUT_REGISTER	2171	1	%	u8	0	0	0
Modbus use ext. calc supply	MODBUS_HOLDING_REGISTER	5008	1		u8	0	1	0
Energy log - Produced energy for heating over the past hour	MODBUS_INPUT_REGISTER	2283	100	kWh	u32	0	0	0
Energy log - Produced energy for hot water over the past hour	MODBUS_INPUT_REGISTER	2285	100	kWh	u32	0	0	0
Energy log - Produced energy for cooling over the past hour	MODBUS_INPUT_REGISTER	2289	100	kWh	u32	0	0	0
Energy log - Used energy for heating over the past hour	MODBUS_INPUT_REGISTER	2291	100	kWh	u32	0	0	0
Energy log - Used energy for hot water over the past hour	MODBUS_INPUT_REGISTER	2293	100	kWh	u32	0	0	0
Energy log - Used energy for cooling over the past hour	MODBUS_INPUT_REGISTER	2297	100	kWh	u32	0	0	0
Energy log - Used energy by additional heater for heating over the past hour	MODBUS_INPUT_REGISTER	2299	100	kWh	u32	0	0	0
Energy log - Used energy by additional heater for hot water over the past hour	MODBUS_INPUT_REGISTER	2301	100	kWh	u32	0	0	0
Energy log - Current power consumption	MODBUS_INPUT_REGISTER	2305	100	kW	u32	0	0	0
Energy log - Current power consumption, components	MODBUS_INPUT_REGISTER	2408	100	kW	u32	0	0	0
Compressor, total time energy storage, main unit (EP14)	MODBUS_INPUT_REGISTER	2335	1	h	u32	0	2147483647	0
Compressor, total time energy storage, main unit (EP15)	MODBUS_INPUT_REGISTER	2337	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 1 (EP14)	MODBUS_INPUT_REGISTER	2339	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 1 (EP15)	MODBUS_INPUT_REGISTER	2341	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 2 (EP14)	MODBUS_INPUT_REGISTER	2343	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 2 (EP15)	MODBUS_INPUT_REGISTER	2345	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 3 (EP14)	MODBUS_INPUT_REGISTER	2347	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 3 (EP15)	MODBUS_INPUT_REGISTER	2349	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 4 (EP14)	MODBUS_INPUT_REGISTER	2351	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 4 (EP15)	MODBUS_INPUT_REGISTER	2353	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 5 (EP14)	MODBUS_INPUT_REGISTER	2355	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 5 (EP15)	MODBUS_INPUT_REGISTER	2357	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 6 (EP14)	MODBUS_INPUT_REGISTER	2359	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 6 (EP15)	MODBUS_INPUT_REGISTER	2361	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 7 (EP14)	MODBUS_INPUT_REGISTER	2363	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 7 (EP15)	MODBUS_INPUT_REGISTER	2365	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 8 (EP14)	MODBUS_INPUT_REGISTER	2367	1	h	u32	0	2147483647	0
Compressor, total time energy storage, heat pump 8 (EP15)	MODBUS_INPUT_REGISTER	2369	1	h	u32	0	2147483647	0
External reading of BT52 activated	MODBUS_HOLDING_REGISTER	5216	1		u8	0	1	0
External reading of value BT52	MODBUS_HOLDING_REGISTER	5225	10	°C	s16	0	0	0
Power limitation	MODBUS_HOLDING_REGISTER	6007	10	kW	u16	11	1000	42
Auto mode, start temperature for active cooling	MODBUS_HOLDING_REGISTER	4204	10	°C	s16	0	400	250
Heating, compressor only	MODBUS_INPUT_REGISTER	1585	10	kWh	u32	0	0	0
Hot water, compressor only	MODBUS_INPUT_REGISTER	1583	10	kWh	u32	0	0	0
Cooling, compressor only	MODBUS_INPUT_REGISTER	1579	10	kWh	u32	0	0	0
Hot water, including int. add. heat	MODBUS_INPUT_REGISTER	1575	10	kWh	u32	0	0	0
